id,idioma
0,es
1,es
2,es
3,es
4,es
5,es
6,es
7,es
8,es
9,pt
10,es
11,es
12,es
13,es
14,es
15,es
16,es
17,es
18,es
19,es
20,es
21,es
22,es
23,es
24,es
25,es
26,es
27,es
28,es
29,es
30,es
31,es
32,es
33,es
34,es
35,es
36,es
37,es
38,es
39,es
40,es
41,es
42,es
43,es
44,es
45,es
46,es
47,es
48,es
49,en
50,es
51,es
52,it
53,es
54,es
55,es
56,es
57,es
58,es
59,es
60,es
61,en
62,es
63,es
64,es
65,es
66,es
67,es
68,es
69,es
70,es
71,es
72,es
73,es
74,es
75,es
76,es
77,pt
78,es
79,es
80,es
81,es
82,es
83,es
84,es
85,es
86,es
87,es
88,es
89,ca
90,es
91,es
92,es
93,es
94,es
95,es
96,es
97,es
98,es
99,es
100,es
101,es
102,es
103,es
104,es
105,es
106,es
107,es
108,es
109,es
110,es
111,es
112,es
113,es
114,es
115,es
116,es
117,it
118,es
119,es
120,es
121,es
122,es
123,es
124,es
125,es
126,es
127,es
128,es
129,es
130,es
131,es
132,es
133,es
134,es
135,es
136,es
137,es
138,es
139,es
140,es
141,es
142,es
143,es
144,es
145,es
146,es
147,es
148,es
149,es
150,es
151,es
152,es
153,es
154,es
155,es
156,es
157,es
158,es
159,es
160,es
161,es
162,es
163,es
164,es
165,es
166,es
167,es
168,es
169,es
170,es
171,es
172,es
173,es
174,es
175,es
176,es
177,es
178,es
179,es
180,es
181,es
182,es
183,es
184,es
185,es
186,es
187,es
188,es
189,es
190,es
191,es
192,es
193,es
194,es
195,es
196,es
197,es
198,es
199,es
200,es
201,es
202,es
203,es
204,es
205,es
206,es
207,es
208,es
209,es
210,es
211,es
212,es
213,es
214,es
215,es
216,es
217,es
218,es
219,es
220,es
221,es
222,es
223,es
224,es
225,es
226,es
227,es
228,es
229,es
230,es
231,es
232,es
233,es
234,es
235,es
236,es
237,es
238,es
239,es
240,es
241,es
242,es
243,es
244,es
245,es
246,es
247,es
248,es
249,es
250,es
251,es
252,es
253,es
254,es
255,es
256,es
257,es
258,es
259,es
260,es
261,es
262,es
263,es
264,es
265,es
266,es
267,es
268,es
269,es
270,es
271,es
272,es
273,es
274,es
275,es
276,es
277,es
278,es
279,es
280,es
281,es
282,es
283,es
284,es
285,es
286,es
287,es
288,es
289,es
290,es
291,es
292,es
293,es
294,es
295,es
296,es
297,es
298,es
299,es
300,es
301,es
302,es
303,es
304,es
305,es
306,es
307,es
308,es
309,es
310,es
311,es
312,pt
313,es
314,es
315,es
316,es
317,es
318,es
319,es
320,es
321,es
322,es
323,es
324,es
325,es
326,es
327,es
328,es
329,es
330,es
331,es
332,es
333,es
334,es
335,es
336,es
337,es
338,es
339,en
340,es
341,es
342,es
343,es
344,es
345,es
346,es
347,es
348,es
349,es
350,es
351,es
352,es
353,es
354,es
355,es
356,es
357,es
358,es
359,es
360,es
361,es
362,es
363,es
364,es
365,es
366,es
367,es
368,es
369,es
370,es
371,es
372,es
373,es
374,es
375,es
376,es
377,es
378,es
379,es
380,es
381,es
382,es
383,es
384,es
385,es
386,es
387,es
388,es
389,es
